Description,Type,Well,PL#,X,Col,Row,TR:HepG2:CellLine,TR:EGF:Cytokine,TR:HER:Cytokine,TR:AMP:Cytokine,TR:EPI:Cytokine,TR:TGF:Cytokine,TR:PI3Ki:Inhibitor,DA:p-Akt,DA:p-ERK1/2,DA:p-GSK-3a/b,DA:p-IkB-a,DA:p-JNK,DA:p-p38 MAPK,DA:p-p70 S6 Kinase,DA:p-p90RSK,DA:p-STAT3,DA:c-Jun,DA:CREB,DA:HistoneH3,DA:HSP27,DA:IRS-1,DA:MEK1,DA:p53,DA:STAT6,DV:p-Akt,DV:p-ERK1/2,DV:p-GSK-3a/b,DV:p-IkB-a,DV:p-JNK,DV:p-p38 MAPK,DV:p-p70 S6 Kinase,DV:p-p90RSK,DV:p-STAT3,DV:c-Jun,DV:CREB,DV:HistoneH3,DV:HSP27,DV:IRS-1,DV:MEK1,DV:p53,DV:STAT6
EGFR_HepG2_30min_X09_c03rA_HER_###_NOIh,X9,A3,EGFR,9,3,A,1,,1,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24931,7431,12214,523.8,181,91.8,18572.3,418.5,173.5,7034,907.5,686.3,246.5,4845.3,17455,862.5,-11
EGFR_HepG2_03hrs_X10_c03rB_HER_###_NOIh,X10,B3,EGFR,10,3,B,1,,1,,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,26257,9308.5,14452,1707.3,373,531.8,22408.3,664.5,299.5,18905,1707.5,550.3,286.5,6859.3,23361,996.5,39.5
EGFR_HepG2_30min_X11_c03rC_HER_###_PI3k,X11,C3,EGFR,11,3,C,1,,1,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2437.5,6230,5870.5,385.3,72.5,124.8,6783.3,305.5,153,6752.5,894.5,774.3,213,2548.3,17657.5,689.5,-56
EGFR_HepG2_03hrs_X12_c03rD_HER_###_PI3k,X12,D3,EGFR,12,3,D,1,,1,,,,1,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,4679.5,6570,6046.5,683.8,164.5,191.3,6855.8,303.5,132,13140.5,816.5,461.8,224.5,3070.3,17546,340,-34
EGFR_HepG2_30min_X13_c04rA_AMP_###_NOIh,X13,A4,EGFR,13,4,A,1,,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,3731.5,2480.5,2189,218.3,30.5,46.3,4780.3,91,118,5076,231.5,615.3,267.5,1479.8,12782,641.5,-43
EGFR_HepG2_03hrs_X14_c04rB_AMP_###_NOIh,X14,B4,EGFR,14,4,B,1,,,1,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,2548.5,4584,6137.5,508.3,117,89.3,8842.3,266,117,9463.5,893.5,717.3,260.5,2418.8,15481,602.5,-63
EGFR_HepG2_30min_X15_c04rC_AMP_###_PI3k,X15,C4,EGFR,15,4,C,1,,,1,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1281.5,2979.5,3593,372.3,96.5,59.3,4064.3,212,161,7242,901.5,925.3,223,1666.3,15894,1079.5,-14
EGFR_HepG2_03hrs_X16_c04rD_AMP_###_PI3k,X16,D4,EGFR,16,4,D,1,,,1,,,1,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,938.5,4517,5722,400.8,115,105.8,4856.3,302.5,151.5,9299,742.5,632.3,211.5,1883.3,16611,612,-41
EGFR_HepG2_30min_X17_c05rA_EPI_###_NOIh,X17,A5,EGFR,17,5,A,1,,,,1,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,6937.5,7987,7117.5,295.8,129.5,100.8,15009.8,380.5,84.5,7233,1038.5,194.3,185.5,4290.3,18256.5,727.5,-48
EGFR_HepG2_03hrs_X18_c05rB_EPI_###_NOIh,X18,B5,EGFR,18,5,B,1,,,,1,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,1999.5,6260,7195,860.3,114.5,233.8,12464.8,278,129,9531,985.5,474.3,182.5,3174.3,13800,630,-44.5
EGFR_HepG2_30min_X19_c05rC_EPI_###_PI3k,X19,C5,EGFR,19,5,C,1,,,,1,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,925,8463.5,7625,373.8,99.5,181.3,11281.3,468.5,149,8699,1156.5,645.8,235,3998.3,22673,744.5,-15
EGFR_HepG2_03hrs_X20_c05rD_EPI_###_PI3k,X20,D5,EGFR,20,5,D,1,,,,1,,1,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,723.5,6056,6484.5,602.3,118.5,158.3,8632.3,386.5,103,14238.5,1132,586.8,220.5,2360.3,20957,512,-46
EGFR_HepG2_30min_X21_c06rA_TGF_###_NOIh,X21,A6,EGFR,21,6,A,1,,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,13739.5,8387,10752.5,277.3,176.5,275.8,20118.3,388,131,10625,1952.5,679.8,139.5,2651.3,21152,965,-22
EGFR_HepG2_03hrs_X22_c06rB_TGF_###_NOIh,X22,B6,EGFR,22,6,B,1,,,,,1,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,2605.5,9233,7818,1369.8,250.5,355.8,18298.3,482,392.5,18855,1560.5,750.3,230.5,5413.8,22921,672,-6.5
EGFR_HepG2_30min_X23_c06rC_TGF_###_PI3k,X23,C6,EGFR,23,6,C,1,,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1038.5,11548,10145,399.8,224,293.8,14555.3,776.5,133,11858,2305.5,620.8,255.5,6136.3,23389.5,793.5,-17
EGFR_HepG2_03hrs_X24_c06rD_TGF_###_PI3k,X24,D6,EGFR,24,6,D,1,,,,,1,1,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,972.5,8444.5,7586,1098.3,232.5,228.3,10890.3,482.5,275.5,17146,1453.5,449.3,244.5,4099.3,21528.5,549.5,-7.5
EGFR_HepG2_30min_X25_c07rA_EGF_HER_NOIh,X25,A7,EGFR,25,7,A,1,1,1,,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24509.5,15494.5,8759,674.3,341,374.3,22329.3,1211.5,74,11186,3700.5,650.3,228.5,9460.3,24164,1027,4
EGFR_HepG2_03hrs_X26_c07rB_EGF_HER_NOIh,X26,B7,EGFR,26,7,B,1,1,1,,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,24445.5,12453,12293,1911.3,454,582.3,22836.8,756.5,495,18264.5,2351.5,418.3,284.5,8187.8,23726,798,31
EGFR_HepG2_30min_X27_c07rC_EGF_HER_PI3k,X27,C7,EGFR,27,7,C,1,1,1,,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,13429.5,15052.5,11696.5,438.3,242.5,314.3,18945.3,1050,111,11486.5,3438.5,752.3,193.5,7710.8,23814,840.5,-29
EGFR_HepG2_03hrs_X28_c07rD_EGF_HER_PI3k,X28,D7,EGFR,28,7,D,1,1,1,,,,1,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,2530,9401,9883,1106.3,233.5,317.3,13692.3,686,309.5,18142,1906.5,799.3,286.5,5221.8,23419,550.5,-3
EGFR_HepG2_30min_X29_c08rA_HER_TGF_NOIh,X29,A8,EGFR,29,8,A,1,,1,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24911.5,18529.5,13963,721.8,392.5,411.3,23158.8,1479.5,97,11014,4379.5,818.3,242.5,9253.3,24572,986.5,21
EGFR_HepG2_03hrs_X30_c08rB_HER_TGF_NOIh,X30,B8,EGFR,30,8,B,1,,1,,,1,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,25211.5,13930.5,14774,1919.8,456.5,706.3,22542.3,1038.5,447,20511,2529.5,675.3,321.5,8857.3,24124.5,863.5,38.5
EGFR_HepG2_30min_X31_c08rC_HER_TGF_PI3k,X31,C8,EGFR,31,8,C,1,,1,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,16776.5,11379,7525,405.3,168.5,217.8,18872.8,1060,96,11260,2911.5,749.3,211,7696.3,23772,797.5,-21
EGFR_HepG2_03hrs_X32_c08rD_HER_TGF_PI3k,X32,D8,EGFR,32,8,D,1,,1,,,1,1,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,2716.5,9937,8955,962.3,213,293.3,13789.3,611.5,246,16423.5,1665.5,547.8,223.5,4522.8,23103,422.5,-12
EGFR_HepG2_30min_X33_c09rA_AMP_EGF_NOIh,X33,A9,EGFR,33,9,A,1,1,,1,,,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,18347,12807.5,10642,478.3,218.5,439.8,19359.3,1039,97,11259,2354.5,476.8,248.5,7176.8,23141,770,-3.5
EGFR_HepG2_03hrs_X34_c09rB_AMP_EGF_NOIh,X34,B9,EGFR,34,9,B,1,1,,1,,,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,3146.5,8728,8191,1562.8,285.5,406.8,17502.8,532,387,21891.5,1895.5,695.3,279.5,5363.3,23274,701,20
EGFR_HepG2_30min_X35_c09rC_AMP_EGF_PI3k,X35,C9,EGFR,35,9,C,1,1,,1,,,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1645,12291,10575,540.3,269.5,426.8,17558.3,1102.5,146,11984,2936,931.3,269.5,7082.3,24216,707,-6
EGFR_HepG2_03hrs_X36_c09rD_AMP_EGF_PI3k,X36,D9,EGFR,36,9,D,1,1,,1,,,1,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,759.5,6569.5,4260,758.3,150.5,262.8,9441.3,381,189,17791,1449.5,531.8,218,2822.3,18850,433.5,-35
EGFR_HepG2_30min_X37_c10rA_EPI_TGF_NOIh,X37,A10,EGFR,37,10,A,1,,,,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,18832.5,5432,6724,202.3,178.5,250.3,18165.3,549,57.5,8516,2176.5,561.8,139,2250.3,21975,735.5,-79
EGFR_HepG2_03hrs_X38_c10rB_EPI_TGF_NOIh,X38,B10,EGFR,38,10,B,1,,,,1,1,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,3626,9954,7752,1600.3,311.5,572.8,18939.3,736.5,434,22727,1747,750.3,284,6669.3,23784,652,47
EGFR_HepG2_30min_X39_c10rC_EPI_TGF_PI3k,X39,C10,EGFR,39,10,C,1,,,,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,2051.5,13643,10555,419.3,212.5,370.3,17634.3,905.5,128,12386.5,2556,705.3,247.5,6963.3,23809,877.5,-25
EGFR_HepG2_03hrs_X40_c10rD_EPI_TGF_PI3k,X40,D10,EGFR,40,10,D,1,,,,1,1,1,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,760.5,6813,6985,899.3,165.5,246.8,9951.8,438,180.5,17076,1113,624.8,246.5,3124.8,21711,369.5,-7
EGFR_HepG2_30min_X41_c11rA_TGF_EGF_NOIh,X41,A11,EGFR,41,11,A,1,1,,,,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,18378.5,11765.5,8093,396.3,196.5,379.8,22380.8,668.5,93,12197,2487.5,698.3,233.5,8294.3,24130,1043.5,-21.5
EGFR_HepG2_03hrs_X42_c11rB_TGF_EGF_NOIh,X42,B11,EGFR,42,11,B,1,1,,,,1,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,2898,7848,6307,1441.3,295.5,401.8,16760.3,550.5,384.5,22624,1391.5,730.3,247.5,4968.3,23770,592.5,0
EGFR_HepG2_30min_X43_c11rC_TGF_EGF_PI3k,X43,C11,EGFR,43,11,C,1,1,,,,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,1594.5,12039.5,9185,452.8,223,345.8,15880.3,826.5,88.5,11488.5,2299.5,817.3,190,6011.3,23930,668.5,-19
EGFR_HepG2_03hrs_X44_c11rD_TGF_EGF_PI3k,X44,D11,EGFR,44,11,D,1,1,,,,1,1,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,878,5070,2787,852.3,163.5,261.3,10079.3,283.5,149,17469.5,978.5,771.3,229.5,3186.3,22211.5,492.5,-34
EGFR_HepG2_30min_X45_c12rA_ALL_ALL_NOIh,X45,A12,EGFR,45,12,A,1,1,1,1,1,1,,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,24328.5,14277,12333,563.3,287,346.8,22341.3,1145,69,14095,3114.5,814.8,164.5,7192.3,24813,670,-9
EGFR_HepG2_03hrs_X46_c12rB_ALL_ALL_NOIh,X46,B12,EGFR,46,12,B,1,1,1,1,1,1,,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,24575.5,11485,14047,1879.3,363.5,490.3,22490.8,680.5,455,20085,1915.5,619.3,250.5,8197.3,24049,665.5,31
EGFR_HepG2_30min_X47_c12rC_ALL_ALL_PI3k,X47,C12,EGFR,47,12,C,1,1,1,1,1,1,1,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,30,22955.5,18026,12878.5,558.3,291.5,176.8,21008.3,1052,75,10459,3322.5,900.3,186.5,7642.3,24442,748.5,10.5
EGFR_HepG2_03hrs_X48_c12rD_ALL_ALL_PI3k,X48,D12,EGFR,48,12,D,1,1,1,1,1,1,1,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,180,2624,8199,8862,1089.3,192,348.8,13536.3,456,307,19433,1207.5,809.3,228,4586.3,23601,405.5,-14
